ApiModelName;RPM;TPM;RPD
models/gemini-2.5-flash;5;250000;20
models/gemini-2.5-pro;15;-1;1500
models/gemini-2.0-flash;15;-1;1500
models/gemini-2.0-flash-001;15;-1;1500
models/gemini-2.0-flash-exp-image-generation;15;-1;1500
models/gemini-2.0-flash-lite-001;15;-1;1500
models/gemini-2.0-flash-lite;15;-1;1500
models/gemini-exp-1206;15;-1;1500
models/gemini-2.5-flash-preview-tts;3;10000;10
models/gemini-2.5-pro-preview-tts;15;-1;1500
models/gemma-3-1b-it;30;15000;14400
models/gemma-3-4b-it;30;15000;14400
models/gemma-3-12b-it;30;15000;14400
models/gemma-3-27b-it;30;15000;14400
models/gemma-3n-e4b-it;30;15000;14400
models/gemma-3n-e2b-it;30;15000;14400
models/gemini-flash-latest;15;-1;1500
models/gemini-flash-lite-latest;15;-1;1500
models/gemini-pro-latest;15;-1;1500
models/gemini-2.5-flash-lite;10;250000;20
models/gemini-2.5-flash-image;15;-1;1500
models/gemini-2.5-flash-preview-09-2025;5;250000;20
models/gemini-2.5-flash-lite-preview-09-2025;10;250000;20
models/gemini-3-pro-preview;15;-1;1500
models/gemini-3-flash-preview;5;250000;20
models/gemini-3-pro-image-preview;15;-1;1500
models/nano-banana-pro-preview;15;-1;1500
models/gemini-robotics-er-1.5-preview;10;250000;20
models/gemini-2.5-computer-use-preview-10-2025;15;-1;1500
models/deep-research-pro-preview-12-2025;15;-1;1500
models/gemini-embedding-001;100;30000;1000
models/aqa;;
models/imagen-4.0-generate-preview-06-06;;;25
models/imagen-4.0-ultra-generate-preview-06-06;;;25
models/imagen-4.0-generate-001;;;25
models/imagen-4.0-ultra-generate-001;;;25
models/imagen-4.0-fast-generate-001;;;25
models/veo-2.0-generate-001;;
models/veo-3.0-generate-001;;
models/veo-3.0-fast-generate-001;;
models/veo-3.1-generate-preview;;
models/veo-3.1-fast-generate-preview;;
models/gemini-2.5-flash-native-audio-latest;-1;1000000;-1
models/gemini-2.5-flash-native-audio-preview-09-2025;-1;1000000;-1
models/gemini-2.5-flash-native-audio-preview-12-2025;-1;1000000;-1
